,Test,Results
,CheckMS12DecodeSupport           ,PASS
,CheckMS11DecodeSupport           ,FAIL
,SetAndGetStereoMode              ,PASS
,AudioMuteVerification            ,FAIL
,SetAndGetAudioDelay              ,FAIL
,GetAudioCapabilities             ,FAIL
,EnableDisableRetrieveAudioMixing ,FAIL
,AudioPortControl                 ,FAIL
,SetAndGetPrimaryLanguage,FAIL
,SetAndGetSecondaryLanguage,FAIL
,,
L1 dsHost,dsHostInit_L1_positive         ,PASS
,dsHostInit_L1_negative         ,PASS
,dsHostTerm_L1_positive         ,PASS
,dsHostTerm_L1_negative         ,PASS
,dsGetCPUTemperature_L1_positive,PASS
,dsGetSocIDFromSDK_L1_positive  ,PASS
,dsGetSocIDFromSDK_L1_negative  ,PASS
,dsGetCPUTemperature_L1_negative,PASS
,dsGetHostEDID_L1_positive      ,FAIL
,dsGetHostEDID_L1_negative,PASS
L2 dsHost - Source, L2_GetCPUTemperature  ,PASS
, L2_GetAndVerifySocID,FAIL
,,
L1 dsVideoDevice,dsVideoDeviceInit_positive     ,PASS
,dsVideoDeviceTerm_positive      ,PASS
,dsGetVideoDevice_positive      ,PASS
,dsSetDFC_positive  ,FAIL
,dsGetHDRCaps_positive          ,FAIL
,dsGetSupportVidFormats_positive,FAIL
,dsGetVideoCodecInfo_positive   ,FAIL
,dsSetFRFMode_positive          ,PASS
,dsGetFRFMode_positive          ,PASS
,dsGetCurrDispFramerate_positive,PASS
,dsSetDisplayframerate_positive ,PASS
,dsRegFrameratePreCB_positive   ,PASS
,dsRegFrameratePostCB_positive  ,PASS
,dsVideoDeviceInit_negative     ,PASS
,dsVideoDeviceTerm_negative     ,PASS
,dsGetVideoDevice_negative      ,PASS
,dsSetDFC_negative              ,FAIL
,dsGetHDRCaps_negative          ,PASS
,dsGetSupportVidFormats_negative,PASS
,dsGetVideoCodecInfo_negative   ,PASS
,dsSetFRFMode_negative          ,FAIL
,dsGetFRFMode_negative          ,FAIL
,dsGetCurrDispFramerate_negative,FAIL
,dsSetDisplayframerate_negative ,FAIL
,dsRegFrameratePreCB_negative   ,FAIL
,dsRegFrameratePostCB_negative  ,FAIL
,dsGetDFC_positive              ,FAIL
,dsForceDisableHDR_positive     ,PASS
,dsGetDFC_negative              ,PASS
,dsForceDisableHDR_negative     ,FAIL
L2 dsVideoDevice - Source],GetHDRCapabilities,FAIL
,GetSupportedVideoCodingFormats,FAIL
,SetAndGetDFC,FAIL
,GetVideoCodecInfo,FAIL
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
